Date,Pounds,
7/27/2016,204.1,
7/28/2016,203.8,
7/29/2016,202.9,
7/30/2016,203.3,
7/31/2016,,
8/1/2016,203.9,
8/2/2016,203.8,
8/3/2016,203.6,
8/4/2016,202.3,
8/5/2016,202,
8/6/2016,,
8/7/2016,,
8/8/2016,,
8/9/2016,203.3,
8/10/2016,202.8,
8/11/2016,203.2,
8/12/2016,202.1,
8/13/2016,202.3,
8/14/2016,,
8/15/2016,203,
8/16/2016,203,
8/17/2016,202.9,
8/18/2016,203.1,
8/19/2016,202.8,
8/20/2016,201.8,
8/21/2016,201.6,
8/22/2016,200.3,
8/23/2016,201.1,
8/24/2016,200.5,
8/25/2016,,
8/26/2016,200.8,
8/27/2016,,
8/28/2016,,
8/29/2016,201.1,
8/30/2016,201,
8/31/2016,201.4,
9/1/2016,200.8,
9/2/2016,199.5,
9/3/2016,201.1,
9/4/2016,,
9/5/2016,,
9/6/2016,201.6,
9/7/2016,202.7,
9/8/2016,201.7,
9/9/2016,200.9,
9/10/2016,200.9,
9/11/2016,,
9/12/2016,201.6,
9/13/2016,201.1,
9/14/2016,200.2,
9/15/2016,199.9,
9/16/2016,200.2,
9/17/2016,200.4,
9/18/2016,,
9/19/2016,202.6,
9/20/2016,203.2,
9/21/2016,201.1,
9/22/2016,198.9,
9/23/2016,199.4,
9/24/2016,,
9/25/2016,200.4,
9/26/2016,198.3,
9/27/2016,199.6,
9/28/2016,199.2,
9/29/2016,198.5,
9/30/2016,197.8,
10/1/2016,198.6,
10/2/2016,,
10/3/2016,200.2,
10/4/2016,198.9,
10/5/2016,199.6,
10/6/2016,198.3,
10/7/2016,196.9,
10/8/2016,198.8,
10/9/2016,,
10/10/2016,,
10/11/2016,200.1,
10/12/2016,,
10/13/2016,,
10/14/2016,,
10/15/2016,,
10/16/2016,,
10/17/2016,,
10/18/2016,201,Just got back from Hawaii (Kauai) trip - Avnet Most Valuable Player award trip
10/19/2016,201.8,
10/20/2016,,
10/21/2016,,
10/22/2016,,
10/23/2016,,
10/24/2016,200.2,
10/25/2016,,
10/26/2016,198.5,
10/27/2016,199.7,
10/28/2016,198.2,
10/29/2016,,
10/30/2016,,
10/31/2016,200.8,
11/1/2016,200.5,
11/2/2016,199.1,
11/3/2016,197.5,
11/4/2016,197.9,
11/5/2016,198.5,
11/6/2016,,
11/7/2016,200.1,
11/8/2016,199.5,
11/9/2016,198.3,
11/10/2016,198.3,
11/11/2016,,
11/12/2016,,
11/13/2016,,
11/14/2016,,
11/15/2016,200.5,
11/16/2016,200.3,
11/17/2016,198.6,
11/18/2016,,
11/19/2016,198.7,
11/20/2016,,
11/21/2016,,
11/22/2016,199,
11/23/2016,200.6,
11/24/2016,199.4,
11/25/2016,200.4,
11/26/2016,201.3,
11/27/2016,,
11/28/2016,202.3,
11/29/2016,202.6,
11/30/2016,201.5,
12/1/2016,199.8,
12/2/2016,199,
12/3/2016,,
12/4/2016,200.6,
12/5/2016,198.9,
12/6/2016,200,
12/7/2016,198.8,
12/8/2016,198.4,
12/9/2016,198.4,
12/10/2016,,
12/11/2016,,
12/12/2016,201.8,
12/13/2016,203.1,
12/14/2016,201.3,
12/15/2016,200.3,
12/16/2016,200.5,
12/17/2016,,
12/18/2016,,
12/19/2016,202.2,
12/20/2016,200.9,
12/21/2016,200.8,
12/22/2016,202.2,
12/23/2016,200.7,
12/24/2016,,
12/25/2016,199.8,
12/26/2016,201.1,
12/27/2016,,
12/28/2016,202.7,
12/29/2016,202.6,
12/30/2016,202.4,
12/31/2016,,
1/1/2017,,
1/2/2017,,
1/3/2017,204.3,
1/4/2017,205.9,
1/5/2017,204.1,
1/6/2017,202.3,
1/7/2017,201.6,
1/8/2017,,
1/9/2017,203.2,
1/10/2017,202.4,
1/11/2017,201.4,
1/12/2017,200.2,
1/13/2017,200.5,
1/14/2017,201.5,
1/15/2017,,
1/16/2017,,
1/17/2017,,
1/18/2017,,
1/19/2017,,
1/20/2017,205.2,
1/21/2017,,
1/22/2017,,
1/23/2017,203.8,
1/24/2017,204.1,
1/25/2017,203.5,
1/26/2017,201.9,
1/27/2017,201.8,
1/28/2017,202.6,
1/29/2017,,
1/30/2017,203.2,
1/31/2017,202,
2/1/2017,201,
2/2/2017,200.7,
2/3/2017,199.7,
2/4/2017,200,
2/5/2017,,
2/6/2017,201.7,
2/7/2017,201.4,
2/8/2017,202.6,
2/9/2017,200.7,
2/10/2017,200.2,
2/11/2017,201.5,
2/12/2017,,
2/13/2017,200.9,
2/14/2017,200.6,
2/15/2017,198.2,
2/16/2017,199.5,
2/17/2017,199.7,
2/18/2017,,
2/19/2017,,
2/20/2017,,
2/21/2017,201.7,
2/22/2017,202.2,
2/23/2017,201,
2/24/2017,200.8,
2/25/2017,,
2/26/2017,,
2/27/2017,,
2/28/2017,199.9,
3/1/2017,,
3/2/2017,,
3/3/2017,,
3/4/2017,,
3/5/2017,,
3/6/2017,200.1,
3/7/2017,200,
3/8/2017,200,
3/9/2017,,
3/10/2017,199.6,
3/11/2017,,
3/12/2017,,
3/13/2017,199.1,
3/14/2017,199.1,
3/15/2017,198.6,
3/16/2017,199.6,
3/17/2017,200.7,
3/18/2017,,
3/19/2017,200.1,
3/20/2017,199.9,
3/21/2017,201,
3/22/2017,200.8,
3/23/2017,202.3,
3/24/2017,201.1,
3/25/2017,200.7,
3/26/2017,,
3/27/2017,201.3,
3/28/2017,202.7,
3/29/2017,,
3/30/2017,201.1,
3/31/2017,201.2,
4/1/2017,,
4/2/2017,,
4/3/2017,201.8,
4/4/2017,202.5,
4/5/2017,199.6,
4/6/2017,198.4,
4/7/2017,198,
4/8/2017,,
4/9/2017,,
4/10/2017,200.7,
4/11/2017,199.8,
4/12/2017,198.7,
4/13/2017,198.7,
4/14/2017,198.8,
4/15/2017,,
4/16/2017,,
4/17/2017,199.8,
4/18/2017,200,
4/19/2017,199.5,
4/20/2017,197.4,
4/21/2017,197.4,
4/22/2017,198.7,
4/23/2017,198.5,
4/24/2017,199.1,
4/25/2017,199.4,
4/26/2017,199.2,
4/27/2017,198.3,
4/28/2017,197.7,
4/29/2017,,
4/30/2017,201.7,
5/1/2017,,
5/2/2017,,
5/3/2017,200,
5/4/2017,199.6,
5/5/2017,,
5/6/2017,,
5/7/2017,,
5/8/2017,202.4,
5/9/2017,200.8,
5/10/2017,202.1,
5/11/2017,202.1,
5/12/2017,201.1,
5/13/2017,,
5/14/2017,,
5/15/2017,202.4,
5/16/2017,202.5,
5/17/2017,200.4,
5/18/2017,199.9,
5/19/2017,198.8,
5/20/2017,200.6,
5/21/2017,,
5/22/2017,200.1,
5/23/2017,201.4,
5/24/2017,201.2,
5/25/2017,200.7,
5/26/2017,199.8,
5/27/2017,,
5/28/2017,,
5/29/2017,,
5/30/2017,200.8,
5/31/2017,201.3,
6/1/2017,201.6,
6/2/2017,202.3,
6/3/2017,202.2,
6/4/2017,,
6/5/2017,203.5,
6/6/2017,205.8,
6/7/2017,204.1,
6/8/2017,203.4,
6/9/2017,204.1,
6/10/2017,,
6/11/2017,203,
6/12/2017,204.1,
6/13/2017,,
6/14/2017,,
6/15/2017,204.6,
6/16/2017,202.2,
6/17/2017,202.8,
6/18/2017,,
6/19/2017,204.9,
6/20/2017,205.1,
6/21/2017,204.5,
6/22/2017,203.5,
6/23/2017,203.7,
6/24/2017,,
6/25/2017,,
6/26/2017,203.9,
6/27/2017,203,
6/28/2017,203.6,
6/29/2017,202.4,
6/30/2017,200.3,
